2024/02/18 01:01:30 올리브영 랭킹
랭킹 카테고리,순위,브랜드명,상품명,링크,카테고리
전체,1,딜라이트 프로젝트,딜라이트 프로젝트 베이글칩 6종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147779&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=1,08 > 과자류 > 비스켓/쿠키
전체,2,메이크프렘,[2월올영픽/추가증정포함 142ml] 메이크프렘 인테카 수딩크림 80ml 한정기획 (+인테카크림 31ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199260&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=2,01 > 스킨케어 > 크림
전체,3,VT,[2월 올영픽] VT 리들샷 100 에센스 50ml 더블기획 (50ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199670&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=3,01 > 스킨케어 > 에센스
전체,4,차앤박,[2월올영픽] 차앤박 프로폴리스 액티브 앰플 30ml 트리플 기획 (+나이스웨더 파우치),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199774&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=4,01 > 스킨케어 > 에센스
전체,5,메디힐,메디힐 마데카소사이드 에센셜 마스크 1매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160666&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=5,01 > 마스크팩 > 시트팩
전체,6,라운드랩,라운드랩 자작나무 수분크림 (본품80ml+20ml 추가 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145579&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=6,01 > 스킨케어 > 크림
전체,7,더샘,[1+1] 더샘 내추럴 마스크 시트 1매 (6종 중 택1),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189195&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=7,01 > 마스크팩 > 시트팩
전체,8,셀퓨전씨,[7일특가/9900원]셀퓨전씨 약산성 패리어 수분 크림 80ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162415&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=8,01 > 스킨케어 > 크림
전체,9,에스트라,[NEW] 에스트라 아토베리어365 크림 80ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199473&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=9,01 > 스킨케어 > 크림
전체,10,에스쁘아,[단독선런칭] 에스쁘아 립스틱 노웨어 바밍 글로우 3g / 7 colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199684&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=10,02 > 립 메이크업 > 립스틱
전체,11,에뛰드,[2월올영PICK] 에뛰드 재창조 메이커 쉐딩 멀티 스틱 브러쉬 증정기획 (웜&쿨),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190270&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=11,02 > 베이스 메이크업 > 쉐이딩
전체,12,힌스,[2월 올영픽/상은언니PICK] 힌스 세컨 스킨 메쉬 매트 쿠션 (본품+리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185466&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=12,02 > 베이스 메이크업 > 쿠션
전체,13,토리든,토리든 다이브인 저분자 히알루론산 마스크 1매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158750&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=13,01 > 마스크팩 > 시트팩
전체,14,에뛰드,[2월올영PICK] 에뛰드 픽싱 틴트 4g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181619&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=14,02 > 립 메이크업 > 립틴트
전체,15,한율,[모공브러시 증정]한율 부들밤 말끔피지 모공팩 100ml+20ml+클렌징폼32g기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175304&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=15,01 > 마스크팩 > 페이셜팩
전체,16,피지오겔,[더블기획] 피지오겔 DMT 페이셜 크림 100ml+100ml 증정 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198109&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=16,01 > 스킨케어 > 크림
전체,17,VT,[2월 올영픽] VT 리들샷 300 에센스 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189544&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=17,01 > 스킨케어 > 에센스
전체,18,어노브,[2023 어워즈 헤어케어 1위]어노브 대용량 딥 데미지 트리트먼트 EX 더블 기획 2종 택1(텐더블룸/웜페탈),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=18,05 > 헤어 트리트먼트 > 헤어트리트먼트
