랭킹 카테고리,순위,브랜드명,상품명,링크
전체,1,바이오던스,[단독] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187480&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=1
전체,2,딜라이트 프로젝트,딜라이트 프로젝트 곤약워터젤리 5종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154194&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=2
전체,3,딜라이트 프로젝트,딜라이트 프로젝트 베이글칩 6종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147779&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=3
전체,4,퓌,퓌 립앤치크 블러리 푸딩팟 30 Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200332&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=4
전체,5,메디힐,[6년연속1위] 메디힐 에센셜 마스크팩 1매 (5종 중 택1),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160664&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=5
전체,6,에스트라,[NEW] 에스트라 아토베리어365 크림 80ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199473&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=6
전체,7,투쿨포스쿨,[애교살 메이커] 투쿨포스쿨 프로타주 펜슬,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000120656&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=7
전체,8,성분에디터,[홍현희PICK][2023어워즈/모공앰플] 성분에디터 그린토마토 포어 리프팅 앰플 플러스 30ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188240&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=8
전체,9,메디힐,[선우PICK] 메디힐 레티놀 콜라겐 탄력 패드 100매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189074&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=9
전체,10,페리페라,[NEW] 페리페라 오버블러틴트,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200378&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=10
전체,11,VT,[아랑Pick] VT 리들샷 100 에센스 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183731&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=11
전체,12,리얼베리어,[2월 올영픽] 리얼베리어 익스트림 크림 마스크 27ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147572&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=12
전체,13,메디힐,메디힐 마데카소사이드 에센셜 마스크 1매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160666&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=13
전체,14,넘버즈인,[모공각질] 넘버즈인 4번 모공제로 깐달걀 토너패드 70매 리필 기획 (70매+70매 리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182630&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=14
전체,15,라곰,라곰 셀럽 마이크로 폼 클렌저 120ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145581&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=15
전체,16,바이오힐보,[리필+2종 키트 증정]바이오힐보 프로바이오덤 3D 리프팅크림 50ml 리필기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199701&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=16
전체,17,메리몽드,메리몽드 밀크하트 틴트 립앤치크 5g 4 COLORS,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200344&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=17
전체,18,어노브,[2023 어워즈 헤어케어 1위]어노브 대용량 딥 데미지 트리트먼트 EX 더블 기획 2종 택1(텐더블룸/웜페탈),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=18
전체,19,에뛰드,[2월올영PICK] 에뛰드 재창조 메이커 쉐딩 멀티 스틱 브러쉬 증정기획 (웜&쿨),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190270&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=19
전체,20,키스미,[NEW 컬러출시] N0.1 키스미 스무스 리퀴드 아이라이너 N,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000005351&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=20
전체,21,에이프릴스킨,에이프릴스킨 히어로 쿠션 (리필 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163765&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=21
