일시,랭킹 카테고리,순위,브랜드명,상품명
2024-02-29 11:00,전체,1,이니스프리,이니스프리 레티놀 시카 흔적 앰플 30ml 기획 (+7ml)
2024-02-29 11:00,전체,2,어노브,[2023 어워즈 헤어케어 1위]어노브 대용량 딥 데미지 트리트먼트 EX 더블 기획 2종 택1(텐더블룸/웜페탈)
2024-02-29 11:00,전체,3,피지오겔,[2/29 하루특가] 피지오겔 디멜라나이저 토닝 미백 앰플 세럼 20ml+4ml 한정 기획
2024-02-29 11:00,전체,4,허닭,[허닭] 닭가슴살 스테이크/큐브/볼/소시지 80종 1+1 골라담기
2024-02-29 11:00,전체,5,더샘,[1+1] 더샘 내추럴 마스크 시트 1매 (6종 중 택1)
2024-02-29 11:00,전체,6,아누아,아누아 어성초 쿼세티놀 모공 딥 클렌징 폼 150ml
2024-02-29 11:00,전체,7,그린몬스터,[단독기획] 그린몬스터 식전식후 바디관리세트 (28일분)
2024-02-29 11:00,전체,8,퓌,퓌 립앤치크 블러리 푸딩팟 30컬러
2024-02-29 11:00,전체,9,에스트라,[NEW] 에스트라 아토베리어365 크림 80ml 더블 기획
2024-02-29 11:00,전체,10,메디힐,[6년연속1위] 메디힐 에센셜 마스크팩 1매 (5종 중 택1)
2024-02-29 11:00,전체,11,VT,[아랑Pick] VT 리들샷 100 에센스 50ml
2024-02-29 11:00,전체,12,딜라이트 프로젝트,딜라이트 프로젝트 베이글칩 6종 택1
2024-02-29 11:00,전체,13,토리든,토리든 다이브인 저분자 히알루론산 마스크 1매
2024-02-29 11:00,전체,14,차앤박,차앤박(CNP) 프로폴리스 액티브 앰플 30ml 트리플 기획 (+나이스웨더 파우치)
2024-02-29 11:00,전체,15,바이오던스,[단독] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매
2024-02-29 11:00,전체,16,VT,[2월 올영픽] VT 리들샷 300 에센스 50ml
2024-02-29 11:00,전체,17,브링그린,브링그린 프레시마스크 1매 5종
2024-02-29 11:00,전체,18,롬앤,[2023 어워즈/1위틴트] 롬앤 쥬시 래스팅 틴트
2024-02-29 11:00,전체,19,클리오,[후로페샤날 청과/키링+스티커 증정] 클리오 프로아이팔레트에어 기획/단품
2024-02-29 11:00,전체,20,페리페라,페리페라 스피디 스키니 브로우
2024-02-29 11:00,전체,21,성분에디터,[홍현희PICK][2023어워즈/모공앰플] 성분에디터 그린토마토 포어 리프팅 앰플 플러스 30ml 더블 기획
2024-02-29 11:00,전체,22,코스알엑스,코스알엑스 약산성 나이아신아마이드 미셀라 클렌징 워터 400mL
2024-02-29 11:00,전체,23,투쿨포스쿨,[애교살 메이커] 투쿨포스쿨 프로타주 펜슬
2024-02-29 11:00,전체,24,에센허브,[스완PICK] 에센허브 티트리 90 클리어 바디 미스트 200ml
2024-02-29 11:00,전체,25,테라로직,[단독기획]테라로직 레티놀 안티 링클 3D 크림 20g+5g
2024-02-29 11:00,전체,26,구달,[1+1기획] 구달 맑은 어성초 진정 수분 선크림 50ml+50ml (24AD)
2024-02-29 11:00,전체,27,넘버즈인,[모공각질] 넘버즈인 4번 모공제로 깐달걀 토너패드 70매 리필 기획 (70매+70매 리필)
2024-02-29 11:00,전체,28,프리메이,[NEW]프리메이 비건 앰플 마스크 1매 4종 택 1 [올리브시카/핑크콜라겐/옐로우비타민/그린하트리프]
2024-02-29 11:00,전체,29,일리윤,[3년연속/올영1위] 일리윤 세라마이드 아토 로션기획(600ML+600ML)
2024-02-29 11:00,전체,30,페리페라,[NEW] 페리페라 오버블러틴트
2024-02-29 11:00,전체,31,토니모리,[24SS/NEW] 토니모리 겟잇틴트 워터풀버터 13종
2024-02-29 11:00,전체,32,라운드랩,[한정기획] 라운드랩 자작나무 수분 선크림 50ml 1+1 기획
2024-02-29 11:00,전체,33,에스트라,[NEW] 에스트라 아토베리어365 로션 150ml+150ml 리필 기획
2024-02-29 11:00,전체,34,바이오더마,[40ml 정품증정/한정기획]바이오더마 시카비오 포마드 100ml 기획 (+40ml)
2024-02-29 11:00,전체,35,플루,[New.페이셜스크럽] 플루 소프트 페이셜 스크럽 허니앤슈가100g
2024-02-29 11:00,전체,36,메디힐,메디힐 마데카소사이드 에센셜 마스크 1매
2024-02-29 11:00,전체,37,스킨푸드,[NEW/리뷰이벤트] 스킨푸드 감자 마데카소사이드 수딩 패드 60매 (+10매 증정기획)
2024-02-29 11:00,전체,38,클리오,[후로페샤날 청과/NEW 컬러] 클리오 쉬폰블러틴트
2024-02-29 11:00,전체,39,키스미,[한정기획/NEW컬러출시] N0.1 키스미 스무스 리퀴드 아이라이너 N
2024-02-29 11:00,전체,40,미쟝센,미쟝센 살롱10 프로페셔널 시카 프로틴 트리트먼트 215ml 기획 (+70ml 증정)
2024-02-29 11:00,전체,41,칼로,경남 칼로 스탑 PLUS 15포 + 칼로 컨트롤 PLUS 15포 기획(30일분)
2024-02-29 11:00,전체,42,클리오,[후로페샤날 청과/마켓백+키링 증정기획] 클리오 킬커버 더뉴 파운웨어 쿠션
2024-02-29 11:00,전체,43,토리든,[2023어워즈/한정수량] 토리든 다이브인 저분자 히알루론산 마스크 10매 어워즈기획 (+3매+밸런스풀마스크1매)
2024-02-29 11:00,전체,44,딜라이트 프로젝트,딜라이트 프로젝트 명인 찹쌀오징어채부각
2024-02-29 11:00,전체,45,힌스,[2월 올영픽/랄랄X레어리PICK] 힌스 트루 디멘션 래디언스 밤
2024-02-29 11:00,전체,46,에이프릴스킨,에이프릴스킨 히어로 쿠션 (리필 증정)
2024-02-29 11:00,전체,47,에뛰드,[2월올영PICK] 에뛰드 재창조 메이커 쉐딩 멀티 스틱 브러쉬 증정기획 (웜&쿨)
2024-02-29 11:00,전체,48,클리오,[NEW] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너
2024-02-29 11:00,전체,49,에스네이처,[2023어워즈] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml)
2024-02-29 11:00,전체,50,낫포유,낫포유 클리어 바디미스트 200ml
2024-02-29 11:00,전체,51,투크,[NEW도화살몬] 투크 워터프루프 슬림 아이라이너 10colors
